Datetime,mem
47:23.2,4997
47:53.3,5014
48:23.2,5013
48:53.3,5014
49:23.2,5013
49:53.2,5013
50:23.2,5013
50:53.3,5013
51:23.2,5014
51:53.3,5014
52:23.2,5014
52:53.3,5013
53:23.2,5012
53:53.3,5012
54:23.2,5013
54:53.3,5012
55:23.2,5012
55:53.3,5012
56:23.2,5012
56:53.3,5012
57:23.3,5012
57:53.3,5012
58:23.3,5012
58:53.3,5012
59:23.3,5011
59:53.3,5012
00:23.3,5016
00:53.3,5016
01:23.3,5017
01:53.3,5016
02:23.3,5017
02:53.3,5016
03:23.3,5017
03:53.3,5017
04:23.3,5017
04:53.3,5017
05:23.3,5016
05:53.3,5016
06:23.3,5017
06:53.3,5017
07:23.3,5016
07:53.3,5015
08:23.3,5015
08:53.3,5015
09:23.3,5015
09:53.3,5015
10:23.3,5015
10:53.3,5015
11:23.3,5015
11:53.3,5012
12:23.3,5013
12:53.3,5010
13:23.3,5015
13:53.3,5015
14:23.3,5015
14:53.3,5015
15:23.3,5015
15:53.3,5015
16:23.3,5015
16:53.3,5014
17:23.3,5015
17:53.3,5015
18:23.3,5015
18:53.3,5016
19:23.3,5016
19:53.3,5016
20:23.3,5016
20:53.3,5016
21:23.3,5017
21:53.3,5017
22:23.3,5016
22:53.3,5016
23:23.3,5016
23:53.3,5016
24:23.3,5017
24:53.3,5016
25:23.3,5016
25:53.3,5016
26:23.3,5015
26:53.3,5015
27:23.3,5016
27:53.3,5015
28:23.3,5015
28:53.3,5015
29:23.3,5016
29:53.3,5015
30:23.3,5015
30:53.3,5016
31:23.3,5017
31:53.3,5016
32:23.3,5016
32:53.3,5016
33:23.3,5015
33:53.3,5015
34:23.3,5014
34:53.3,5015
35:23.3,5015
35:53.3,5014
36:23.3,5014
36:53.3,5014
37:23.3,5014
37:53.3,5015
38:23.3,5015
38:53.3,5014
39:23.3,5015
39:53.3,5015
40:23.3,5014
40:53.3,5014
41:23.3,5015
41:53.3,5015
42:23.3,5015
42:53.3,5015
43:23.3,5015
43:53.3,5016
44:23.3,5012
44:53.3,5015
45:23.3,5011
45:53.3,5012
46:23.3,5015
46:53.4,5014
47:23.3,5014
47:53.4,5014
48:23.3,5014
48:53.4,5014
49:23.3,5014
49:53.4,5014
50:23.3,5014
50:53.4,5014
51:23.3,5014
51:53.4,5014
52:23.3,5013
52:53.4,5014
53:23.3,5014
53:53.4,5014
54:23.3,5014
54:53.4,5014
55:23.3,5015
55:53.4,5013
56:23.3,5013
56:53.4,5014
57:23.4,5013
57:53.4,5013
58:23.4,5013
58:53.4,5014
59:23.4,5014
59:53.4,5015
00:23.4,5013
00:53.4,5013
